period_group,from_bucket,to_state,rate,rate_lo,rate_hi,rate_n,rate_method,synthetic
crisis,dpd_90p,current,0.06988082340195016,0.059121619713015584,0.0824264998665203,1846,wilson_95,True
crisis,dpd_90p,dpd_90p,0.8721560130010835,0.8561466406536682,0.8866196589040887,1846,wilson_95,True
crisis,dpd_90p,reo,0.029794149512459372,0.022961403211660566,0.0385798660516104,1846,wilson_95,True
crisis,reo,credit_event,0.4909090909090909,0.3993812926379583,0.5830504370636623,110,wilson_95,True
crisis,reo,reo,0.509090909090909,0.4169495629363377,0.6006187073620417,110,wilson_95,True
pre_crisis,current,current,0.9538782677843677,0.9514535465980322,0.9561874595419503,30181,wilson_95,True
pre_crisis,current,dpd_30,0.015804645306649878,0.014457917828723695,0.017274619074832555,30181,wilson_95,True
pre_crisis,current,other_exit,0.0006626685663165567,0.0004290319561875194,0.0010234056805897428,30181,wilson_95,True
pre_crisis,current,prepaid,0.028958616348033532,0.0271258411475037,0.030911289648637368,30181,wilson_95,True
pre_crisis,current,unknown,0.0006958019946323846,0.00045515955070115483,0.0010635365089793438,30181,wilson_95,True
pre_crisis,dpd_30,current,0.47863247863247865,0.433731599899914,0.5238812939186894,468,wilson_95,True
pre_crisis,dpd_30,dpd_60,0.5213675213675214,0.4761187060813105,0.566268400100086,468,wilson_95,True
pre_crisis,dpd_60,current,0.2375,0.1880618432234884,0.2952092639214778,240,wilson_95,True
pre_crisis,dpd_60,dpd_90p,0.7625,0.704790736078522,0.8119381567765115,240,wilson_95,True
pre_crisis,dpd_90p,credit_event,0.022275258552108195,0.015455775590611131,0.032005856385998774,1257,wilson_95,True
pre_crisis,dpd_90p,current,0.07398568019093078,0.06077746942769767,0.0897898976388712,1257,wilson_95,True
pre_crisis,dpd_90p,dpd_90p,0.8727128082736675,0.853144902634035,0.8900095110528232,1257,wilson_95,True
pre_crisis,dpd_90p,reo,0.031026252983293555,0.02277830869398835,0.04213198614399924,1257,wilson_95,True
pre_crisis,reo,credit_event,0.52,0.4087401957316927,0.6293107824321194,75,wilson_95,True
pre_crisis,reo,reo,0.48,0.37068921756788065,0.5912598042683074,75,wilson_95,True
recent,current,current,0.9639164808433002,0.9607892755479605,0.9668028970251755,14799,wilson_95,True
recent,current,dpd_30,0.011284546253125211,0.009705041730262029,0.013117711436265132,14799,wilson_95,True
recent,current,other_exit,0.0008108655990269613,0.0004639204135000932,0.0014169076566996177,14799,wilson_95,True
recent,current,prepaid,0.023109669572268395,0.020809779094950184,0.02565708305130152,14799,wilson_95,True
recent,current,unknown,0.000878437732279208,0.0005134505116064632,0.0015024867527631018,14799,wilson_95,True
recent,dpd_30,current,0.44047619047619047,0.36756785867748865,0.5160458879356714,168,wilson_95,True
recent,dpd_30,dpd_60,0.5595238095238095,0.48395411206432865,0.6324321413225114,168,wilson_95,True
recent,dpd_60,current,0.26881720430107525,0.1892118216186081,0.36676412260370955,93,wilson_95,True
recent,dpd_60,dpd_90p,0.7311827956989247,0.6332358773962905,0.8107881783813919,93,wilson_95,True
recent,dpd_90p,credit_event,0.02857142857142857,0.016418040518923673,0.04927065072799498,420,wilson_95,True
recent,dpd_90p,current,0.09285714285714286,0.06867085341531803,0.12442392538883901,420,wilson_95,True
recent,dpd_90p,dpd_90p,0.8452380952380952,0.8075339698839564,0.8766839077382497,420,wilson_95,True
recent,dpd_90p,reo,0.03333333333333333,0.019957822270614427,0.05516835694350707,420,wilson_95,True
recent,reo,credit_event,0.46153846153846156,0.28755582695234905,0.6454236379556988,26,wilson_95,True
recent,reo,reo,0.5384615384615384,0.3545763620443012,0.712444173047651,26,wilson_95,True
recovery,current,current,0.9547071510601944,0.952500711230853,0.9568157440478622,35701,wilson_95,True
recovery,current,dpd_30,0.013725105739335032,0.012569453009862706,0.014985398262744538,35701,wilson_95,True
recovery,current,other_exit,0.0009803646956667881,0.0007050270353563006,0.0013630846461698263,35701,wilson_95,True
recovery,current,prepaid,0.029663034648889388,0.027953119244221055,0.03147416022030961,35701,wilson_95,True
recovery,current,unknown,0.0009243438559144001,0.0006582839045012933,0.0012977981524486528,35701,wilson_95,True
recovery,dpd_30,current,0.41851106639839036,0.3759269805409535,0.46234523965800767,497,wilson_95,True
recovery,dpd_30,dpd_60,0.5814889336016097,0.5376547603419924,0.6240730194590466,497,wilson_95,True
recovery,dpd_60,current,0.2881944444444444,0.23894335969829233,0.3430216514584447,288,wilson_95,True
recovery,dpd_60,dpd_90p,0.7118055555555556,0.6569783485415553,0.7610566403017077,288,wilson_95,True
recovery,dpd_90p,credit_event,0.028282828282828285,0.020991483351339303,0.03800848011018677,1485,wilson_95,True
recovery,dpd_90p,current,0.07878787878787878,0.0661467349955988,0.09360269704606365,1485,wilson_95,True
recovery,dpd_90p,dpd_90p,0.8572390572390572,0.8385233930736221,0.874111181349876,1485,wilson_95,True
recovery,dpd_90p,reo,0.03569023569023569,0.027388870438925197,0.04638768174768754,1485,wilson_95,True
recovery,reo,credit_event,0.46551724137931033,0.37730845831344373,0.5559367587063557,116,wilson_95,True
recovery,reo,reo,0.5344827586206896,0.4440632412936442,0.6226915416865563,116,wilson_95,True
