reporting_date,scenario,ecl,ecl_lo,ecl_hi,ecl_n,ecl_method,synthetic
2019-12-01,final,1785978.0212952406,1607380.2191657166,1964575.8234247647,328,synthetic fixture interval,True
2019-12-01,upside,1275698.5866394574,1148128.7279755117,1403268.445303403,328,synthetic fixture interval,True
2020-12-01,adverse,2734629.0882130633,2461166.179391757,3008091.9970343695,333,synthetic fixture interval,True
2020-12-01,base,1709143.1801331644,1538228.862119848,1880057.4981464809,333,synthetic fixture interval,True
2020-12-01,final,1914240.3617491443,1722816.32557423,2105664.3979240586,333,synthetic fixture interval,True
2020-12-01,upside,1367314.5441065317,1230583.0896958786,1504045.9985171848,333,synthetic fixture interval,True
2021-12-01,adverse,1847237.9029748098,1662514.1126773288,2031961.6932722908,303,synthetic fixture interval,True
2021-12-01,base,1154523.689359256,1039071.3204233304,1269976.0582951817,303,synthetic fixture interval,True
2021-12-01,final,1293066.532082367,1163759.8788741303,1422373.1852906037,303,synthetic fixture interval,True
2021-12-01,upside,923618.9514874049,831257.0563386644,1015980.8466361454,303,synthetic fixture interval,True
2022-12-01,adverse,2257051.3530288762,2031346.2177259885,2482756.488331764,318,synthetic fixture interval,True
2022-12-01,base,1410657.0956430475,1269591.3860787428,1551722.8052073522,318,synthetic fixture interval,True
2022-12-01,final,1579935.9471202134,1421942.3524081921,1737929.5418322347,318,synthetic fixture interval,True
2022-12-01,upside,1128525.6765144381,1015673.1088629942,1241378.244165882,318,synthetic fixture interval,True
2023-12-01,adverse,2864273.2197234314,2577845.8977510883,3150700.5416957745,325,synthetic fixture interval,True
2023-12-01,base,1790170.7623271446,1611153.6860944303,1969187.838559859,325,synthetic fixture interval,True
2023-12-01,final,2004991.2538064022,1804492.128425762,2205490.3791870424,325,synthetic fixture interval,True
2023-12-01,upside,1432136.6098617157,1288922.9488755441,1575350.2708478873,325,synthetic fixture interval,True
2024-12-01,adverse,2294673.227966701,2065205.905170031,2524140.5507633714,296,synthetic fixture interval,True
2024-12-01,base,1434170.7674791883,1290753.6907312695,1577587.844227107,296,synthetic fixture interval,True
2024-12-01,final,1606271.2595766908,1445644.1336190216,1766898.38553436,296,synthetic fixture interval,True
2024-12-01,upside,1147336.6139833506,1032602.9525850154,1262070.2753816857,296,synthetic fixture interval,True
2025-12-01,adverse,2377163.2651026337,2139446.9385923706,2614879.591612897,313,synthetic fixture interval,True
2025-12-01,base,1485727.040689146,1337154.3366202314,1634299.7447580604,313,synthetic fixture interval,True
2025-12-01,final,1664014.2855718436,1497612.8570146593,1830415.714129028,313,synthetic fixture interval,True
2025-12-01,upside,1188581.6325513169,1069723.4692961853,1307439.7958064484,313,synthetic fixture interval,True
