period,sma_class,upb,upb_lo,upb_hi,upb_n,upb_method,share,share_lo,share_hi,share_n,share_method,synthetic
2013-12-01,unknown,,,,0,"none: suppressed, fewer than 10 loans",0.004755708286182509,,,378,none: balance share of the whole book,True
2014-12-01,npa,3221991.1,,,19,"none: population count, not an estimate",0.03941758752867032,,,426,none: balance share of the whole book,True
2014-12-01,sma_1,,,,0,"none: suppressed, fewer than 10 loans",0.005858801349011962,,,426,none: balance share of the whole book,True
2014-12-01,sma_2,,,,0,"none: suppressed, fewer than 10 loans",0.008271574205723331,,,426,none: balance share of the whole book,True
2014-12-01,standard_or_sma_0,76869405.34,,,398,"none: population count, not an estimate",0.9404143025926694,,,426,none: balance share of the whole book,True
2014-12-01,unknown,,,,0,"none: suppressed, fewer than 10 loans",0.006037734323925116,,,426,none: balance share of the whole book,True
2015-12-01,npa,5981659.14,,,28,"none: population count, not an estimate",0.06832313024329273,,,457,none: balance share of the whole book,True
2015-12-01,sma_1,,,,0,"none: suppressed, fewer than 10 loans",0.005409519789117403,,,457,none: balance share of the whole book,True
2015-12-01,sma_2,,,,0,"none: suppressed, fewer than 10 loans",0.0029773856895277586,,,457,none: balance share of the whole book,True
2015-12-01,standard_or_sma_0,80833618.63,,,424,"none: population count, not an estimate",0.9232899642780621,,,457,none: balance share of the whole book,True
2016-12-01,npa,2446930.24,,,14,"none: population count, not an estimate",0.03338489151271111,,,396,none: balance share of the whole book,True
2016-12-01,sma_1,,,,0,"none: suppressed, fewer than 10 loans",0.01991760117104091,,,396,none: balance share of the whole book,True
2016-12-01,sma_2,,,,0,"none: suppressed, fewer than 10 loans",0.005117137566352674,,,396,none: balance share of the whole book,True
2016-12-01,standard_or_sma_0,68849425.99,,,371,"none: population count, not an estimate",0.9393527366716357,,,396,none: balance share of the whole book,True
2016-12-01,unknown,,,,0,"none: suppressed, fewer than 10 loans",0.0022276330782597196,,,396,none: balance share of the whole book,True
2017-12-01,npa,2269116.99,,,11,"none: population count, not an estimate",0.03307975539927083,,,372,none: balance share of the whole book,True
2017-12-01,sma_1,,,,0,"none: suppressed, fewer than 10 loans",0.01286644997491303,,,372,none: balance share of the whole book,True
2017-12-01,sma_2,,,,0,"none: suppressed, fewer than 10 loans",0.017580553166464608,,,372,none: balance share of the whole book,True
2017-12-01,standard_or_sma_0,64237698.17,,,348,"none: population count, not an estimate",0.9364732414593515,,,372,none: balance share of the whole book,True
2018-12-01,npa,2258538.62,,,12,"none: population count, not an estimate",0.035854459119898555,,,350,none: balance share of the whole book,True
2018-12-01,sma_1,,,,0,"none: suppressed, fewer than 10 loans",0.011684114366553916,,,350,none: balance share of the whole book,True
2018-12-01,sma_2,,,,0,"none: suppressed, fewer than 10 loans",0.001514643780616838,,,350,none: balance share of the whole book,True
2018-12-01,standard_or_sma_0,59901894.69,,,335,"none: population count, not an estimate",0.9509467827329307,,,350,none: balance share of the whole book,True
2019-12-01,npa,,,,0,"none: suppressed, fewer than 10 loans",0.0261298500598709,,,328,none: balance share of the whole book,True
2019-12-01,sma_1,,,,0,"none: suppressed, fewer than 10 loans",0.01817565049589125,,,328,none: balance share of the whole book,True
2019-12-01,sma_2,,,,0,"none: suppressed, fewer than 10 loans",0.0068072473350676895,,,328,none: balance share of the whole book,True
2019-12-01,standard_or_sma_0,55621487.62,,,312,"none: population count, not an estimate",0.9488872521091701,,,328,none: balance share of the whole book,True
2020-12-01,npa,5988005.59,,,37,"none: population count, not an estimate",0.10402681361791029,,,333,none: balance share of the whole book,True
2020-12-01,sma_1,1815534.21,,,12,"none: population count, not an estimate",0.031540424610827726,,,333,none: balance share of the whole book,True
2020-12-01,sma_2,1820810.2999999998,,,11,"none: population count, not an estimate",0.03163208364868465,,,333,none: balance share of the whole book,True
2020-12-01,standard_or_sma_0,47937785.87,,,273,"none: population count, not an estimate",0.8328006781225773,,,333,none: balance share of the whole book,True
2021-12-01,npa,,,,0,"none: suppressed, fewer than 10 loans",0.023895089576381003,,,303,none: balance share of the whole book,True
2021-12-01,sma_1,,,,0,"none: suppressed, fewer than 10 loans",0.003345982795114536,,,303,none: balance share of the whole book,True
2021-12-01,standard_or_sma_0,51871909.73,,,294,"none: population count, not an estimate",0.9727589276285044,,,303,none: balance share of the whole book,True
2022-12-01,npa,,,,0,"none: suppressed, fewer than 10 loans",0.018093827614961328,,,318,none: balance share of the whole book,True
2022-12-01,sma_1,,,,0,"none: suppressed, fewer than 10 loans",0.0075816216944107635,,,318,none: balance share of the whole book,True
2022-12-01,sma_2,,,,0,"none: suppressed, fewer than 10 loans",0.00514640825855239,,,318,none: balance share of the whole book,True
2022-12-01,standard_or_sma_0,55924191.49,,,306,"none: population count, not an estimate",0.9691781424320755,,,318,none: balance share of the whole book,True
2023-12-01,npa,2179332.2,,,13,"none: population count, not an estimate",0.03688360367950532,,,325,none: balance share of the whole book,True
2023-12-01,sma_1,,,,0,"none: suppressed, fewer than 10 loans",0.011733534035572769,,,325,none: balance share of the whole book,True
2023-12-01,sma_2,,,,0,"none: suppressed, fewer than 10 loans",0.002084887795325313,,,325,none: balance share of the whole book,True
2023-12-01,standard_or_sma_0,56090930.3,,,307,"none: population count, not an estimate",0.9492979744895965,,,325,none: balance share of the whole book,True
2024-12-01,npa,,,,0,"none: suppressed, fewer than 10 loans",0.028154775140636093,,,296,none: balance share of the whole book,True
2024-12-01,sma_1,,,,0,"none: suppressed, fewer than 10 loans",0.00924016379023377,,,296,none: balance share of the whole book,True
2024-12-01,sma_2,,,,0,"none: suppressed, fewer than 10 loans",0.005535804501281311,,,296,none: balance share of the whole book,True
2024-12-01,standard_or_sma_0,51914870.68,,,283,"none: population count, not an estimate",0.9570692565678488,,,296,none: balance share of the whole book,True
2025-12-01,npa,,,,0,"none: suppressed, fewer than 10 loans",0.0224889779577242,,,313,none: balance share of the whole book,True
2025-12-01,sma_1,,,,0,"none: suppressed, fewer than 10 loans",0.009256749870432486,,,313,none: balance share of the whole book,True
2025-12-01,sma_2,,,,0,"none: suppressed, fewer than 10 loans",0.009796842176760957,,,313,none: balance share of the whole book,True
2025-12-01,standard_or_sma_0,52351799.78,,,297,"none: population count, not an estimate",0.9533949113353974,,,313,none: balance share of the whole book,True
2025-12-01,unknown,,,,0,"none: suppressed, fewer than 10 loans",0.00506251865968494,,,313,none: balance share of the whole book,True
