grade,year,marginal_pd,marginal_pd_lo,marginal_pd_hi,marginal_pd_n,marginal_pd_method,cumulative_pd,cumulative_pd_lo,cumulative_pd_hi,cumulative_pd_n,cumulative_pd_method,synthetic
F,8,0.014083629476737606,0.011266903581390085,0.01690035537208513,500,synthetic fixture interval,0.1338567871806372,0.10708542974450977,0.16062814461676464,500,synthetic fixture interval,True
F,9,0.013858291405109805,0.011086633124087844,0.016629949686131767,500,synthetic fixture interval,0.147715078585747,0.1181720628685976,0.1772580943028964,500,synthetic fixture interval,True
F,10,0.013636558742628048,0.010909246994102438,0.01636387049115366,500,synthetic fixture interval,0.16135163732837504,0.12908130986270003,0.19362196479405006,500,synthetic fixture interval,True
G,1,0.032,0.0256,0.038400000000000004,500,synthetic fixture interval,0.032,0.0256,0.038400000000000004,500,synthetic fixture interval,True
G,2,0.030976,0.0247808,0.0371712,500,synthetic fixture interval,0.062976,0.0503808,0.0755712,500,synthetic fixture interval,True
G,3,0.038980198400000006,0.031184158720000004,0.046776238080000004,500,synthetic fixture interval,0.1019561984,0.08156495872,0.12234743808000001,500,synthetic fixture interval,True
G,4,0.03735862214656,0.029886897717248,0.044830346575872,500,synthetic fixture interval,0.13931482054656,0.111451856437248,0.167177784655872,500,synthetic fixture interval,True
G,5,0.03580450346526311,0.028643602772210487,0.04296540415831573,500,synthetic fixture interval,0.17511932401182312,0.14009545920945848,0.21014318881418775,500,synthetic fixture interval,True
G,6,0.02639618163162166,0.021116945305297327,0.03167541795794599,500,synthetic fixture interval,0.20151550564344478,0.16121240451475582,0.24181860677213374,500,synthetic fixture interval,True
G,7,0.02555150381940977,0.020441203055527817,0.03066180458329172,500,synthetic fixture interval,0.22706700946285455,0.18165360757028365,0.27248041135542544,500,synthetic fixture interval,True
G,8,0.024733855697188657,0.019787084557750925,0.029680626836626388,500,synthetic fixture interval,0.2518008651600432,0.20144069212803456,0.3021610381920518,500,synthetic fixture interval,True
G,9,0.02394237231487862,0.019153897851902895,0.028730846777854344,500,synthetic fixture interval,0.2757432374749218,0.22059458997993744,0.3308918849699062,500,synthetic fixture interval,True
G,10,0.023176216400802502,0.018540973120642002,0.027811459680963,500,synthetic fixture interval,0.2989194538757243,0.23913556310057943,0.3587033446508691,500,synthetic fixture interval,True
