month,year,quarter,year_quarter,is_quarter_end,economic_period,market_rate_pct,market_rate_carried_forward
2002-12-01,2002,4,2002Q4,True,pre_crisis,6.48,False
2003-01-01,2003,1,2003Q1,False,pre_crisis,6.48,True
2003-02-01,2003,1,2003Q1,False,pre_crisis,6.48,True
2003-03-01,2003,1,2003Q1,True,pre_crisis,5.76,False
2003-04-01,2003,2,2003Q2,False,pre_crisis,5.76,True
2003-05-01,2003,2,2003Q2,False,pre_crisis,5.76,True
2003-06-01,2003,2,2003Q2,True,pre_crisis,5.741,False
2003-07-01,2003,3,2003Q3,False,pre_crisis,5.741,True
2003-08-01,2003,3,2003Q3,False,pre_crisis,5.741,True
2003-09-01,2003,3,2003Q3,True,pre_crisis,5.73,False
2003-10-01,2003,4,2003Q4,False,pre_crisis,5.73,True
2003-11-01,2003,4,2003Q4,False,pre_crisis,5.73,True
2003-12-01,2003,4,2003Q4,True,pre_crisis,5.745,False
2004-01-01,2004,1,2004Q1,False,pre_crisis,5.745,True
2004-02-01,2004,1,2004Q1,False,pre_crisis,5.745,True
2004-03-01,2004,1,2004Q1,True,pre_crisis,5.8580000000000005,False
2004-04-01,2004,2,2004Q2,False,pre_crisis,5.8580000000000005,True
2004-05-01,2004,2,2004Q2,False,pre_crisis,5.8580000000000005,True
2004-06-01,2004,2,2004Q2,True,pre_crisis,5.903,False
2004-07-01,2004,3,2004Q3,False,pre_crisis,5.903,True
2004-08-01,2004,3,2004Q3,False,pre_crisis,5.903,True
2004-09-01,2004,3,2004Q3,True,pre_crisis,5.667,False
2004-10-01,2004,4,2004Q4,False,pre_crisis,5.667,True
2004-11-01,2004,4,2004Q4,False,pre_crisis,5.667,True
2004-12-01,2004,4,2004Q4,True,pre_crisis,5.83,False
2005-01-01,2005,1,2005Q1,False,pre_crisis,5.83,True
2005-02-01,2005,1,2005Q1,False,pre_crisis,5.83,True
2005-03-01,2005,1,2005Q1,True,pre_crisis,5.948,False
2005-04-01,2005,2,2005Q2,False,pre_crisis,5.948,True
2005-05-01,2005,2,2005Q2,False,pre_crisis,5.948,True
2005-06-01,2005,2,2005Q2,True,pre_crisis,5.864,False
2005-07-01,2005,3,2005Q3,False,pre_crisis,5.864,True
2005-08-01,2005,3,2005Q3,False,pre_crisis,5.864,True
2005-09-01,2005,3,2005Q3,True,pre_crisis,5.8785,False
2005-10-01,2005,4,2005Q4,False,pre_crisis,5.8785,True
2005-11-01,2005,4,2005Q4,False,pre_crisis,5.8785,True
2005-12-01,2005,4,2005Q4,True,pre_crisis,5.802,False
2006-01-01,2006,1,2006Q1,False,pre_crisis,5.802,True
2006-02-01,2006,1,2006Q1,False,pre_crisis,5.802,True
2006-03-01,2006,1,2006Q1,True,pre_crisis,6.508,False
2006-04-01,2006,2,2006Q2,False,pre_crisis,6.508,True
2006-05-01,2006,2,2006Q2,False,pre_crisis,6.508,True
2006-06-01,2006,2,2006Q2,True,pre_crisis,6.402,False
2006-07-01,2006,3,2006Q3,False,pre_crisis,6.402,True
2006-08-01,2006,3,2006Q3,False,pre_crisis,6.402,True
2006-09-01,2006,3,2006Q3,True,pre_crisis,6.4735,False
2006-10-01,2006,4,2006Q4,False,pre_crisis,6.4735,True
2006-11-01,2006,4,2006Q4,False,pre_crisis,6.4735,True
2006-12-01,2006,4,2006Q4,True,pre_crisis,6.359,False
2007-01-01,2007,1,2007Q1,False,crisis,6.359,True
2007-02-01,2007,1,2007Q1,False,crisis,6.359,True
2007-03-01,2007,1,2007Q1,True,crisis,6.3635,False
2007-04-01,2007,2,2007Q2,False,crisis,6.3635,True
2007-05-01,2007,2,2007Q2,False,crisis,6.3635,True
2007-06-01,2007,2,2007Q2,True,crisis,6.312,False
2007-07-01,2007,3,2007Q3,False,crisis,6.312,True
2007-08-01,2007,3,2007Q3,False,crisis,6.312,True
2007-09-01,2007,3,2007Q3,True,crisis,6.2605,False
2007-10-01,2007,4,2007Q4,False,crisis,6.2605,True
2007-11-01,2007,4,2007Q4,False,crisis,6.2605,True
2007-12-01,2007,4,2007Q4,True,crisis,6.49,False
2008-01-01,2008,1,2008Q1,False,crisis,6.49,True
2008-02-01,2008,1,2008Q1,False,crisis,6.49,True
2008-03-01,2008,1,2008Q1,True,crisis,6.054,False
2008-04-01,2008,2,2008Q2,False,crisis,6.054,True
2008-05-01,2008,2,2008Q2,False,crisis,6.054,True
2008-06-01,2008,2,2008Q2,True,crisis,5.952,False
2008-07-01,2008,3,2008Q3,False,crisis,5.952,True
2008-08-01,2008,3,2008Q3,False,crisis,5.952,True
2008-09-01,2008,3,2008Q3,True,crisis,6.0489999999999995,False
2008-10-01,2008,4,2008Q4,False,crisis,6.0489999999999995,True
2008-11-01,2008,4,2008Q4,False,crisis,6.0489999999999995,True
2008-12-01,2008,4,2008Q4,True,crisis,5.933,False
2009-01-01,2009,1,2009Q1,False,crisis,5.933,True
2009-02-01,2009,1,2009Q1,False,crisis,5.933,True
2009-03-01,2009,1,2009Q1,True,crisis,5.086,False
2009-04-01,2009,2,2009Q2,False,crisis,5.086,True
2009-05-01,2009,2,2009Q2,False,crisis,5.086,True
2009-06-01,2009,2,2009Q2,True,crisis,4.994,False
2009-07-01,2009,3,2009Q3,False,crisis,4.994,True
2009-08-01,2009,3,2009Q3,False,crisis,4.994,True
2009-09-01,2009,3,2009Q3,True,crisis,4.9435,False
2009-10-01,2009,4,2009Q4,False,crisis,4.9435,True
2009-11-01,2009,4,2009Q4,False,crisis,4.9435,True
2009-12-01,2009,4,2009Q4,True,crisis,4.949,False
2010-01-01,2010,1,2010Q1,False,crisis,4.949,True
2010-02-01,2010,1,2010Q1,False,crisis,4.949,True
2010-03-01,2010,1,2010Q1,True,crisis,4.7075,False
2010-04-01,2010,2,2010Q2,False,crisis,4.7075,True
2010-05-01,2010,2,2010Q2,False,crisis,4.7075,True
2010-06-01,2010,2,2010Q2,True,crisis,4.672,False
2010-07-01,2010,3,2010Q3,False,crisis,4.672,True
2010-08-01,2010,3,2010Q3,False,crisis,4.672,True
2010-09-01,2010,3,2010Q3,True,crisis,4.776999999999999,False
2010-10-01,2010,4,2010Q4,False,crisis,4.776999999999999,True
2010-11-01,2010,4,2010Q4,False,crisis,4.776999999999999,True
2010-12-01,2010,4,2010Q4,True,crisis,4.76,False
2011-01-01,2011,1,2011Q1,False,crisis,4.76,True
2011-02-01,2011,1,2011Q1,False,crisis,4.76,True
2011-03-01,2011,1,2011Q1,True,crisis,4.5600000000000005,False
2011-04-01,2011,2,2011Q2,False,crisis,4.5600000000000005,True
2011-05-01,2011,2,2011Q2,False,crisis,4.5600000000000005,True
2011-06-01,2011,2,2011Q2,True,crisis,4.3455,False
2011-07-01,2011,3,2011Q3,False,crisis,4.3455,True
2011-08-01,2011,3,2011Q3,False,crisis,4.3455,True
2011-09-01,2011,3,2011Q3,True,crisis,4.602,False
2011-10-01,2011,4,2011Q4,False,crisis,4.602,True
2011-11-01,2011,4,2011Q4,False,crisis,4.602,True
2011-12-01,2011,4,2011Q4,True,crisis,4.551,False
2012-01-01,2012,1,2012Q1,False,recovery,4.551,True
2012-02-01,2012,1,2012Q1,False,recovery,4.551,True
2012-03-01,2012,1,2012Q1,True,recovery,3.746,False
2012-04-01,2012,2,2012Q2,False,recovery,3.746,True
2012-05-01,2012,2,2012Q2,False,recovery,3.746,True
2012-06-01,2012,2,2012Q2,True,recovery,3.6470000000000002,False
2012-07-01,2012,3,2012Q3,False,recovery,3.6470000000000002,True
2012-08-01,2012,3,2012Q3,False,recovery,3.6470000000000002,True
2012-09-01,2012,3,2012Q3,True,recovery,3.679,False
2012-10-01,2012,4,2012Q4,False,recovery,3.679,True
2012-11-01,2012,4,2012Q4,False,recovery,3.679,True
2012-12-01,2012,4,2012Q4,True,recovery,3.699,False
2013-01-01,2013,1,2013Q1,False,recovery,3.699,True
2013-02-01,2013,1,2013Q1,False,recovery,3.699,True
2013-03-01,2013,1,2013Q1,True,recovery,3.968,False
2013-04-01,2013,2,2013Q2,False,recovery,3.968,True
2013-05-01,2013,2,2013Q2,False,recovery,3.968,True
2013-06-01,2013,2,2013Q2,True,recovery,4.152,False
2013-07-01,2013,3,2013Q3,False,recovery,4.152,True
2013-08-01,2013,3,2013Q3,False,recovery,4.152,True
2013-09-01,2013,3,2013Q3,True,recovery,3.9995,False
2013-10-01,2013,4,2013Q4,False,recovery,3.9995,True
2013-11-01,2013,4,2013Q4,False,recovery,3.9995,True
2013-12-01,2013,4,2013Q4,True,recovery,3.887,False
2014-01-01,2014,1,2014Q1,False,recovery,3.887,True
2014-02-01,2014,1,2014Q1,False,recovery,3.887,True
2014-03-01,2014,1,2014Q1,True,recovery,4.2075,False
2014-04-01,2014,2,2014Q2,False,recovery,4.2075,True
2014-05-01,2014,2,2014Q2,False,recovery,4.2075,True
2014-06-01,2014,2,2014Q2,True,recovery,4.2555,False
2014-07-01,2014,3,2014Q3,False,recovery,4.2555,True
2014-08-01,2014,3,2014Q3,False,recovery,4.2555,True
2014-09-01,2014,3,2014Q3,True,recovery,4.08,False
2014-10-01,2014,4,2014Q4,False,recovery,4.08,True
2014-11-01,2014,4,2014Q4,False,recovery,4.08,True
2014-12-01,2014,4,2014Q4,True,recovery,4.241,False
2015-01-01,2015,1,2015Q1,False,recovery,4.241,True
2015-02-01,2015,1,2015Q1,False,recovery,4.241,True
2015-03-01,2015,1,2015Q1,True,recovery,3.946,False
2015-04-01,2015,2,2015Q2,False,recovery,3.946,True
2015-05-01,2015,2,2015Q2,False,recovery,3.946,True
2015-06-01,2015,2,2015Q2,True,recovery,3.943,False
2015-07-01,2015,3,2015Q3,False,recovery,3.943,True
2015-08-01,2015,3,2015Q3,False,recovery,3.943,True
2015-09-01,2015,3,2015Q3,True,recovery,3.8049999999999997,False
2015-10-01,2015,4,2015Q4,False,recovery,3.8049999999999997,True
2015-11-01,2015,4,2015Q4,False,recovery,3.8049999999999997,True
2015-12-01,2015,4,2015Q4,True,recovery,3.8150000000000004,False
2016-01-01,2016,1,2016Q1,False,recovery,3.8150000000000004,True
2016-02-01,2016,1,2016Q1,False,recovery,3.8150000000000004,True
2016-03-01,2016,1,2016Q1,True,recovery,3.7735,False
2016-04-01,2016,2,2016Q2,False,recovery,3.7735,True
2016-05-01,2016,2,2016Q2,False,recovery,3.7735,True
2016-06-01,2016,2,2016Q2,True,recovery,3.723,False
2016-07-01,2016,3,2016Q3,False,recovery,3.723,True
2016-08-01,2016,3,2016Q3,False,recovery,3.723,True
2016-09-01,2016,3,2016Q3,True,recovery,3.698,False
2016-10-01,2016,4,2016Q4,False,recovery,3.698,True
2016-11-01,2016,4,2016Q4,False,recovery,3.698,True
2016-12-01,2016,4,2016Q4,True,recovery,3.6995,False
2017-01-01,2017,1,2017Q1,False,recovery,3.6995,True
2017-02-01,2017,1,2017Q1,False,recovery,3.6995,True
2017-03-01,2017,1,2017Q1,True,recovery,4.015,False
2017-04-01,2017,2,2017Q2,False,recovery,4.015,True
2017-05-01,2017,2,2017Q2,False,recovery,4.015,True
2017-06-01,2017,2,2017Q2,True,recovery,4.1025,False
2017-07-01,2017,3,2017Q3,False,recovery,4.1025,True
2017-08-01,2017,3,2017Q3,False,recovery,4.1025,True
2017-09-01,2017,3,2017Q3,True,recovery,4.108,False
2017-10-01,2017,4,2017Q4,False,recovery,4.108,True
2017-11-01,2017,4,2017Q4,False,recovery,4.108,True
2017-12-01,2017,4,2017Q4,True,recovery,4.104,False
2018-01-01,2018,1,2018Q1,False,recovery,4.104,True
2018-02-01,2018,1,2018Q1,False,recovery,4.104,True
2018-03-01,2018,1,2018Q1,True,recovery,4.393,False
2018-04-01,2018,2,2018Q2,False,recovery,4.393,True
2018-05-01,2018,2,2018Q2,False,recovery,4.393,True
2018-06-01,2018,2,2018Q2,True,recovery,4.682,False
2018-07-01,2018,3,2018Q3,False,recovery,4.682,True
2018-08-01,2018,3,2018Q3,False,recovery,4.682,True
2018-09-01,2018,3,2018Q3,True,recovery,4.346500000000001,False
2018-10-01,2018,4,2018Q4,False,recovery,4.346500000000001,True
2018-11-01,2018,4,2018Q4,False,recovery,4.346500000000001,True
2018-12-01,2018,4,2018Q4,True,recovery,4.617,False
2019-01-01,2019,1,2019Q1,False,recovery,4.617,True
2019-02-01,2019,1,2019Q1,False,recovery,4.617,True
2019-03-01,2019,1,2019Q1,True,recovery,4.065,False
2019-04-01,2019,2,2019Q2,False,recovery,4.065,True
2019-05-01,2019,2,2019Q2,False,recovery,4.065,True
2019-06-01,2019,2,2019Q2,True,recovery,4.014,False
2019-07-01,2019,3,2019Q3,False,recovery,4.014,True
2019-08-01,2019,3,2019Q3,False,recovery,4.014,True
2019-09-01,2019,3,2019Q3,True,recovery,4.051,False
2019-10-01,2019,4,2019Q4,False,recovery,4.051,True
2019-11-01,2019,4,2019Q4,False,recovery,4.051,True
2019-12-01,2019,4,2019Q4,True,recovery,3.921,False
2020-01-01,2020,1,2020Q1,False,recovery,3.921,True
2020-02-01,2020,1,2020Q1,False,recovery,3.921,True
2020-03-01,2020,1,2020Q1,True,covid,2.9865,False
2020-04-01,2020,2,2020Q2,False,covid,2.9865,True
2020-05-01,2020,2,2020Q2,False,covid,2.9865,True
2020-06-01,2020,2,2020Q2,True,covid,2.932,False
2020-07-01,2020,3,2020Q3,False,covid,2.932,True
2020-08-01,2020,3,2020Q3,False,covid,2.932,True
2020-09-01,2020,3,2020Q3,True,covid,3.133,False
2020-10-01,2020,4,2020Q4,False,covid,3.133,True
2020-11-01,2020,4,2020Q4,False,covid,3.133,True
2020-12-01,2020,4,2020Q4,True,covid,3.017,False
2021-01-01,2021,1,2021Q1,False,covid,3.017,True
2021-02-01,2021,1,2021Q1,False,covid,3.017,True
2021-03-01,2021,1,2021Q1,True,covid,3.005,False
2021-04-01,2021,2,2021Q2,False,covid,3.005,True
2021-05-01,2021,2,2021Q2,False,covid,3.005,True
2021-06-01,2021,2,2021Q2,True,covid,2.8689999999999998,False
2021-07-01,2021,3,2021Q3,False,covid,2.8689999999999998,True
2021-08-01,2021,3,2021Q3,False,covid,2.8689999999999998,True
2021-09-01,2021,3,2021Q3,True,covid,3.0305,False
2021-10-01,2021,4,2021Q4,False,covid,3.0305,True
2021-11-01,2021,4,2021Q4,False,covid,3.0305,True
2021-12-01,2021,4,2021Q4,True,covid,3.035,False
2022-01-01,2022,1,2022Q1,False,recent,3.035,True
2022-02-01,2022,1,2022Q1,False,recent,3.035,True
2022-03-01,2022,1,2022Q1,True,recent,5.525,False
2022-04-01,2022,2,2022Q2,False,recent,5.525,True
2022-05-01,2022,2,2022Q2,False,recent,5.525,True
2022-06-01,2022,2,2022Q2,True,recent,5.4995,False
2022-07-01,2022,3,2022Q3,False,recent,5.4995,True
2022-08-01,2022,3,2022Q3,False,recent,5.4995,True
2022-09-01,2022,3,2022Q3,True,recent,5.3915,False
2022-10-01,2022,4,2022Q4,False,recent,5.3915,True
2022-11-01,2022,4,2022Q4,False,recent,5.3915,True
2022-12-01,2022,4,2022Q4,True,recent,5.277,False
2023-01-01,2023,1,2023Q1,False,recent,5.277,True
2023-02-01,2023,1,2023Q1,False,recent,5.277,True
2023-03-01,2023,1,2023Q1,True,recent,6.786,False
2023-04-01,2023,2,2023Q2,False,recent,6.786,True
2023-05-01,2023,2,2023Q2,False,recent,6.786,True
2023-06-01,2023,2,2023Q2,True,recent,6.906,False
2023-07-01,2023,3,2023Q3,False,recent,6.906,True
2023-08-01,2023,3,2023Q3,False,recent,6.906,True
2023-09-01,2023,3,2023Q3,True,recent,6.837,False
2023-10-01,2023,4,2023Q4,False,recent,6.837,True
2023-11-01,2023,4,2023Q4,False,recent,6.837,True
2023-12-01,2023,4,2023Q4,True,recent,6.942,False
2024-01-01,2024,1,2024Q1,False,recent,6.942,True
2024-02-01,2024,1,2024Q1,False,recent,6.942,True
2024-03-01,2024,1,2024Q1,True,recent,6.78,False
2024-04-01,2024,2,2024Q2,False,recent,6.78,True
2024-05-01,2024,2,2024Q2,False,recent,6.78,True
2024-06-01,2024,2,2024Q2,True,recent,6.6705000000000005,False
2024-07-01,2024,3,2024Q3,False,recent,6.6705000000000005,True
2024-08-01,2024,3,2024Q3,False,recent,6.6705000000000005,True
2024-09-01,2024,3,2024Q3,True,recent,6.6995000000000005,False
2024-10-01,2024,4,2024Q4,False,recent,6.6995000000000005,True
2024-11-01,2024,4,2024Q4,False,recent,6.6995000000000005,True
2024-12-01,2024,4,2024Q4,True,recent,6.624499999999999,False
2025-01-01,2025,1,2025Q1,False,recent,6.624499999999999,True
2025-02-01,2025,1,2025Q1,False,recent,6.624499999999999,True
2025-03-01,2025,1,2025Q1,True,recent,6.659,False
2025-04-01,2025,2,2025Q2,False,recent,6.659,True
2025-05-01,2025,2,2025Q2,False,recent,6.659,True
2025-06-01,2025,2,2025Q2,True,recent,6.537,False
2025-07-01,2025,3,2025Q3,False,recent,6.537,True
2025-08-01,2025,3,2025Q3,False,recent,6.537,True
2025-09-01,2025,3,2025Q3,True,recent,6.556,False
2025-10-01,2025,4,2025Q4,False,recent,6.556,True
2025-11-01,2025,4,2025Q4,False,recent,6.556,True
2025-12-01,2025,4,2025Q4,True,recent,6.5,False
2026-01-01,2026,1,2026Q1,False,recent,6.5,True
2026-02-01,2026,1,2026Q1,False,recent,6.5,True
2026-03-01,2026,1,2026Q1,True,recent,6.5,True
